instant_book,rating_checkin,person_capacity,rating_value,is_superhost,amenities,rev_count,cancel_policy,price,nightly_price,rating_cleanliness,host_id,response_time,bed_type,accuracy_rating,rating_communication,satisfaction_guest,hosting_id,url,rating_location,response_rate,room_type
True,,2,,False,"[4, 8, 9, 33, 40, 42, 44, 46, 49, 50]",0,3,25.639464263394217,R$80,,113710683,,Real Bed,,,,16985323,https://www.airbnb.com.br/rooms/16985323,,,Private room
False,10,5,10,False,"[1, 4, 7, 8, 9, 14, 21, 28, 31, 33, 37, 39, 40, 43, 44, 46, 47, 56]",2,5,29.870330760573296,R$95,10,51067600,15314.0,Real Bed,10,10,100,12134392,https://www.airbnb.com.br/rooms/12134392,10,0.8889999985694885,Entire home/apt
False,,6,,False,"[1, 4, 5, 8, 9, 11, 21, 31, 39, 40, 42, 44, 47]",0,3,35.254263362167045,R$110,,2502575,15694.5,Real Bed,,,,17604422,https://www.airbnb.com.br/rooms/17604422,,0.968999981880188,Entire home/apt
True,10,6,10,False,"[1, 4, 5, 8, 11, 12, 15, 21, 31, 40, 47]",1,3,53.842874953127854,R$168,10,2502575,15694.5,Real Bed,10,10,100,17300643,https://www.airbnb.com.br/rooms/17300643,10,0.968999981880188,Entire home/apt
True,10,4,9,False,"[1, 2, 3, 4, 5, 7, 8, 9, 14, 21, 28, 30, 31, 39, 40, 43, 44, 45, 46, 47]",20,5,48.07399549386415,R$150,9,54599073,1914.0,Real Bed,10,10,94,15461055,https://www.airbnb.com.br/rooms/15461055,10,1.0,Entire home/apt
True,,2,,False,"[1, 4, 5, 7, 8, 9, 12, 21, 40, 44, 50, 56]",0,3,57.68879459263699,R$180,,122837507,,Real Bed,,,,18054872,https://www.airbnb.com.br/rooms/18054872,,,Private room
True,10,1,10,False,"[3, 4, 8, 28, 31, 39, 40, 50]",1,5,11.21726561523497,R$35,10,51763947,6743.0,Real Bed,10,10,100,10087916,https://www.airbnb.com.br/rooms/10087916,10,1.0,Private room
False,10,2,9,False,"[1, 2, 3, 4, 5, 8, 9, 14, 21, 28, 31, 33, 34, 39, 40, 43]",19,5,39.0,R$122,9,51005533,3645.0,Real Bed,10,10,93,9993480,https://www.airbnb.com.br/rooms/9993480,9,1.0,Entire home/apt
False,10,2,10,False,"[1, 4, 5, 7, 8, 9, 14, 28, 39, 40, 46, 49, 50]",7,3,16.024665164621386,R$50,10,5560163,1444.5,Real Bed,10,10,97,16859627,https://www.airbnb.com.br/rooms/16859627,9,1.0,Entire home/apt
True,10,2,10,False,"[4, 8, 9, 11, 12, 31, 33, 40, 44, 46, 56]",7,3,16.024665164621386,R$50,10,71447415,8942.5,Real Bed,9,10,100,16331996,https://www.airbnb.com.br/rooms/16331996,10,1.0,Private room
True,,2,,False,"[4, 8, 9, 12, 31, 50]",0,3,16.024665164621386,R$50,,123793485,,Real Bed,,,,18016199,https://www.airbnb.com.br/rooms/18016199,,,Private room
True,10,4,10,False,"[1, 2, 3, 4, 5, 7, 8, 9, 14, 15, 21, 25, 28, 30, 31, 35, 36, 40, 41, 43, 44, 45, 46, 47]",12,3,49.6764620103263,R$155,10,84936406,5158.0,Real Bed,9,10,95,14148038,https://www.airbnb.com.br/rooms/14148038,9,0.8709999918937683,Entire home/apt
False,9,2,10,False,"[1, 2, 3, 4, 5, 7, 9, 11, 14, 15, 17, 18, 21, 28, 31, 32, 35, 39, 40, 44, 46, 47]",21,5,22.755024533762366,R$71,8,43122310,3987.0,Real Bed,9,10,79,8170779,https://www.airbnb.com.br/rooms/8170779,8,1.0,Entire home/apt
True,10,4,10,False,"[1, 4, 5, 7, 8, 9, 21, 31, 39, 40, 42, 44, 47, 57]",13,3,47.11251558398687,R$147,9,113063566,513.0,Real Bed,10,10,93,16925923,https://www.airbnb.com.br/rooms/16925923,10,0.9139999747276306,Entire home/apt
False,8,4,7,False,"[1, 3, 4, 5, 6, 7, 8, 9, 11, 12, 14, 21, 31, 40, 44]",2,3,33.65179684570491,R$105,8,101099427,16563.5,Real Bed,7,8,70,15660331,https://www.airbnb.com.br/rooms/15660331,10,1.0,Entire home/apt
False,9,3,10,False,"[1, 4, 5, 7, 8, 9, 15, 21, 32, 40, 44, 47]",3,3,38.459196395091325,R$120,10,108690087,2184.5,Real Bed,10,10,100,17169061,https://www.airbnb.com.br/rooms/17169061,10,1.0,Entire home/apt
